Serving Size,nutritions
100 грама съдържат:,"['82', '3.60', '11.70', '2.30'] -> 4 елемента"
100 грама съдържат:,"['92', '19.38', '0', '1.02'] -> 4 елемента"
100 грама съдържат:,"['345', '12.35', '51.13', '15.85'] -> 4 елемента"
100 грама съдържат:,"['86', '0.07', '2.62', '0'] -> 4 елемента"
100 грама съдържат:,"['71', '4.07', '13.33', '0.29'] -> 4 елемента"
100 грама съдържат:,"['411', '3.41', '57.08', '18.79'] -> 4 елемента"
100 грама съдържат:,"['67', '5.88', '4.61', '2.63'] -> 4 елемента"
100 грама съдържат:,"['88', '4', '15.20', '1.20'] -> 4 елемента"
100 грама съдържат:,"['173', '27.58', '0', '6.08'] -> 4 елемента"
100 грама съдържат:,"['298', '21.85', '9.38', '18.64'] -> 4 елемента"
100 грама съдържат:,"['279', '14.20', '17', '16.90'] -> 4 елемента"
100 грама съдържат:,"['226', '5.74', '30.15', '9.16'] -> 4 елемента"
100 грама съдържат:,"['384', 'Няма', 'данни', '96', 'Няма', 'данни'] -> 6 елемента"
100 грама съдържат:,"['72', '12.39', '2.72', '1.02'] -> 4 елемента"
100 грама съдържат:,"['389', '3.62', '92.87', '0.34'] -> 4 елемента"
100 грама съдържат:,"['222', '6.30', '13.30', '16'] -> 4 елемента"
100 грама съдържат:,"['201', '13.29', '0', '15.96'] -> 4 елемента"
100 грама съдържат:,"['134', '4', '25', '2'] -> 4 елемента"
100 грама съдържат:,"['49', '0.30', '12', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['61', '1.90', '10', '1.50'] -> 4 елемента"
100 грама съдържат:,"['222', '4.62', '88.88', '0.65'] -> 4 елемента"
100 грама съдържат:,"['311', '12.90', '1.80', '28'] -> 4 елемента"
100 грама съдържат:,"['108', '2.05', '14.36', '4.96'] -> 4 елемента"
100 грама съдържат:,"['430', '5.60', '73.80', '12.80'] -> 4 елемента"
100 грама съдържат:,"['13', '0.70', '1.50', '0.50'] -> 4 елемента"
100 грама съдържат:,"['21', '2.03', '4.19', '0.09'] -> 4 елемента"
100 грама съдържат:,"['283', '24.75', '0', '19.65'] -> 4 елемента"
100 грама съдържат:,"['525', '6.50', '50', '33'] -> 4 елемента"
100 грама съдържат:,"['252', '16.35', '17.56', '12.89'] -> 4 елемента"
100 грама съдържат:,"['63', '0.30', '15.20', '0.10'] -> 4 елемента"
100 грама съдържат:,"['301', '7.20', '66.70', '0.60'] -> 4 елемента"
100 грама съдържат:,"['268', '23.84', '0', '18.39'] -> 4 елемента"
100 грама съдържат:,"['76', '3.60', '6.10', '4.10'] -> 4 елемента"
100 грама съдържат:,"['73', '0.20', '18', '0.01'] -> 4 елемента"
100 грама съдържат:,"['461', '4.50', '68', '22.10'] -> 4 елемента"
100 грама съдържат:,"['138', '11.39', '5.14', '7.91'] -> 4 елемента"
100 грама съдържат:,"['309', '5.20', '52.20', '8.80'] -> 4 елемента"
100 грама съдържат:,"['135', '1.87', '18.28', '6.66'] -> 4 елемента"
100 грама съдържат:,"['34', 'Няма', 'данни', '8.50', 'Няма', 'данни'] -> 6 елемента"
100 грама съдържат:,"['299', '10.91', '4.29', '26.13'] -> 4 елемента"
100 грама съдържат:,"['85', '12', '2.50', '3'] -> 4 елемента"
100 грама съдържат:,"['365', '5.88', '37.65', '21.18'] -> 4 елемента"
100 грама съдържат:,"['47', '0.68', '11.27', '0.12'] -> 4 елемента"
100 грама съдържат:,"['151', '28.98', '0', '3.03'] -> 4 елемента"
100 грама съдържат:,"['511', '4.90', '57.70', '29'] -> 4 елемента"
100 грама съдържат:,"['88', '4.55', '8.05', '4.19'] -> 4 елемента"
100 грама съдържат:,"['40', '0.20', '9.50', '0.10'] -> 4 елемента"
100 грама съдържат:,"['322', '9.70', '59.20', '5.20'] -> 4 елемента"
100 грама съдържат:,"['51', '0.39', '13.60', '0.05'] -> 4 елемента"
100 грама съдържат:,"['173', '5.30', '19.20', '8.30'] -> 4 елемента"
100 грама съдържат:,"['476', '7', '67', '20'] -> 4 елемента"
100 грама съдържат:,"['548', '6.80', '56.40', '32.80'] -> 4 елемента"
100 грама съдържат:,"['51', '1.10', '6.70', '2.20'] -> 4 елемента"
100 грама съдържат:,"['46', '1.80', '7.20', '1.10'] -> 4 елемента"
100 грама съдържат:,"['496', '17', '35.10', '31.90'] -> 4 елемента"
100 грама съдържат:,"['571', '8.20', '14.70', '53.30'] -> 4 елемента"
100 грама съдържат:,"['512', '5.40', '62.80', '26.60'] -> 4 елемента"
100 грама съдържат:,"['18', '1', '3', '0.20'] -> 4 елемента"
100 грама съдържат:,"['350', '14.90', '0.20', '32.20'] -> 4 елемента"
100 грама съдържат:,"['124', '22.80', 'Няма', 'данни', '3.60'] -> 5 елемента"
100 грама съдържат:,"['411', '12.82', '58.10', '14.10'] -> 4 елемента"
100 грама съдържат:,"['422', '12', '53', '18'] -> 4 елемента"
100 грама съдържат:,"['538', '7.60', '57.90', '30.70'] -> 4 елемента"
100 грама съдържат:,"['199', '11.69', '26.47', '6.01'] -> 4 елемента"
100 грама съдържат:,"['336', '13.05', '72.13', '2.09'] -> 4 елемента"
100 грама съдържат:,"['316', '25.17', '0', '23.08'] -> 4 елемента"
100 грама съдържат:,"['518', '6.60', '65.60', '25.50'] -> 4 елемента"
100 грама съдържат:,"['383', '9.30', '80.90', '1.70'] -> 4 елемента"
100 грама съдържат:,"['446', '5', '54', '23'] -> 4 елемента"
100 грама съдържат:,"['357', '1.17', '53.21', '16.31'] -> 4 елемента"
100 грама съдържат:,"['56', '0.20', '14', '0.10'] -> 4 елемента"
100 грама съдържат:,"['278', '24.42', '0', '19.26'] -> 4 елемента"
100 грама съдържат:,"['150', '22.92', '0', '5.82'] -> 4 елемента"
100 грама съдържат:,"['342', '11.31', '75.90', '1.71'] -> 4 елемента"
100 грама съдържат:,"['525', '7.90', '56', '29.50'] -> 4 елемента"
100 грама съдържат:,"['296', '16.90', '1.50', '24.70'] -> 4 елемента"
100 грама съдържат:,"['517', '5.60', '57.40', '29.40'] -> 4 елемента"
100 грама съдържат:,"['85', '4.93', '13.80', '1.25'] -> 4 елемента"
100 грама съдържат:,"['39', '2.08', '2.92', '2.08'] -> 4 елемента"
100 грама съдържат:,"['133', '11.48', 'Няма', 'данни', '9.63'] -> 5 елемента"
100 грама съдържат:,"['89', '0.36', '23.24', '0.10'] -> 4 елемента"
100 грама съдържат:,"['132', '9.80', '18.82', '1.96'] -> 4 елемента"
100 грама съдържат:,"['194', '25.73', '0.11', '9.30'] -> 4 елемента"
100 грама съдържат:,"['67', '1.90', '11.50', '1.50'] -> 4 елемента"
100 грама съдържат:,"['82', '2.92', '9.17', '3.75'] -> 4 елемента"
100 грама съдържат:,"['152', '4', '25', '4'] -> 4 елемента"
100 грама съдържат:,"['340', '9', '59', '7.60'] -> 4 елемента"
100 грама съдържат:,"['102', '4.37', '19.05', '1.08'] -> 4 елемента"
100 грама съдържат:,"['309', '11.98', '0.94', '28.23'] -> 4 елемента"
100 грама съдържат:,"['594', '18.17', '27.90', '49.90'] -> 4 елемента"
100 грама съдържат:,"['115', '5.07', '24.38', '0.80'] -> 4 елемента"
100 грама съдържат:,"['2', '0.02', '0.44', '0'] -> 4 елемента"
100 грама съдържат:,"['439', '5.50', '65.80', '17.10'] -> 4 елемента"
100 грама съдържат:,"['238', '23.77', '0', '15.13'] -> 4 елемента"
100 грама съдържат:,"['112', '20.60', '2.43', '1.51'] -> 4 елемента"
100 грама съдържат:,"['488', '5', '72', '20'] -> 4 елемента"
100 грама съдържат:,"['103', '0.70', '26.16', '0.16'] -> 4 елемента"
100 грама съдържат:,"['54', '2.20', '10.50', '0.40'] -> 4 елемента"
100 грама съдържат:,"['398', 'Няма', 'данни', '99.50', 'Няма', 'данни'] -> 6 елемента"
100 грама съдържат:,"['53', '2.50', '7.50', '1.46'] -> 4 елемента"
100 грама съдържат:,"['15', '0.07', '3.74', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['363', '4.50', '69.50', '7.40'] -> 4 елемента"
100 грама съдържат:,"['81', '3.10', '11.80', '2.38'] -> 4 елемента"
100 грама съдържат:,"['398', '14.10', '61.20', '10.80'] -> 4 елемента"
100 грама съдържат:,"['513', '4.50', '67', '25.20'] -> 4 елемента"
100 грама съдържат:,"['144', '12.40', '4.10', '8.70'] -> 4 елемента"
100 грама съдържат:,"['77', '3.80', '10.40', '2.20'] -> 4 елемента"
100 грама съдържат:,"['221', '28.40', 'Няма', 'данни', '11.90'] -> 5 елемента"
100 грама съдържат:,"['66', '0.40', '12.70', '1.50'] -> 4 елемента"
100 грама съдържат:,"['593', '7.50', '45', '42.50'] -> 4 елемента"
100 грама съдържат:,"['100', '3', '14.50', '3.30'] -> 4 елемента"
100 грама съдържат:,"['237', '12.84', '25.69', '9.17'] -> 4 елемента"
100 грама съдържат:,"['66', '2.65', '7.94', '2.65'] -> 4 елемента"
100 грама съдържат:,"['477', '9', '47.81', '27.74'] -> 4 елемента"
100 грама съдържат:,"['226', '15.21', '11.75', '13.13'] -> 4 елемента"
100 грама съдържат:,"['272', '0.30', '67.80', 'Няма', 'данни'] -> 5 елемента"
100 грама съдържат:,"['332', '14.44', '65.98', '1.20'] -> 4 елемента"
100 грама съдържат:,"['526', '7', '60.20', '28.60'] -> 4 елемента"
100 грама съдържат:,"['388', '14.40', '0', '36.23'] -> 4 елемента"
100 грама съдържат:,"['153', '22.49', '0', '6.32'] -> 4 елемента"
100 грама съдържат:,"['315', '10.50', '52.60', '6.60'] -> 4 елемента"
100 грама съдържат:,"['22', '2.80', '1.80', '0.40'] -> 4 елемента"
100 грама съдържат:,"['550', '4.80', '57.40', '33.50'] -> 4 елемента"
100 грама съдържат:,"['287', '11.36', '21.97', '17.05'] -> 4 елемента"
100 грама съдържат:,"['168', '26.15', 'Няма', 'данни', '7.07'] -> 5 елемента"
100 грама съдържат:,"['95', '17.38', '1.23', '2.29'] -> 4 елемента"
100 грама съдържат:,"['291', '2.20', '3.10', '30'] -> 4 елемента"
100 грама съдържат:,"['31', '3.12', '5.10', '0.57'] -> 4 елемента"
100 грама съдържат:,"['57', '0.46', '14.65', '0.10'] -> 4 елемента"
100 грама съдържат:,"['6', '0.50', '1.10', '0'] -> 4 елемента"
100 грама съдържат:,"['50', '0.88', '12.30', '0.06'] -> 4 елемента"
100 грама съдържат:,"['487', '7.30', '68.40', '20.50'] -> 4 елемента"
100 грама съдържат:,"['53', '2.50', '7.50', '1.46'] -> 4 елемента"
100 грама съдържат:,"['91', '0.73', '23.27', '0.10'] -> 4 елемента"
100 грама съдържат:,"['510', '5.50', '62', '26.70'] -> 4 елемента"
100 грама съдържат:,"['515', '7.50', '1.87', '53'] -> 4 елемента"
100 грама съдържат:,"['357', '24', 'Няма', 'данни', '29'] -> 5 елемента"
100 грама съдържат:,"['433', '11.11', '72.22', '11.11'] -> 4 елемента"
100 грама съдържат:,"['67', '0.61', '17.29', '0.15'] -> 4 елемента"
100 грама съдържат:,"['151', '4.55', '8.90', '10.83'] -> 4 елемента"
100 грама съдържат:,"['120', '7', '14', '4'] -> 4 елемента"
100 грама съдържат:,"['51', '0.88', '10.88', '0.44'] -> 4 елемента"
100 грама съдържат:,"['432', '7', '61.80', '17.40'] -> 4 елемента"
100 грама съдържат:,"['69', '2.51', '7.41', '3.21'] -> 4 елемента"
100 грама съдържат:,"['284', '2', '1.50', '30'] -> 4 елемента"
100 грама съдържат:,"['133', '1.04', '6.57', '12.75'] -> 4 елемента"
100 грама съдържат:,"['494', '6', '68', '22'] -> 4 елемента"
